List Price,MLS® #,Status,Type,Subtype,Bedrooms,Bathrooms,Lot Size,Subdivision,Ownership,Heating Fuel,Garage,Parking Spaces,Construction Materials,Fencing,Fireplaces,Levels,Pool,Cooling,Country,Flooring,Sewer,Frontage Length,Community Features,Heating,Lot Features,Stories,Attached Garage,View,Architectural Style,Waterfront
"$5,000,000",1138682,ACTIVE,Single Family Residential,Single Family,6,7,"19,602",Rockcliff Park,Freehold,Natural gas,Yes,6,Wood frame,Fenced yard,1,2,Yes,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,"100 ft ,3 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$3,999,900",1156521,ACTIVE,Single Family Residential,Single Family,4,5,"266,151",Manotick,Freehold,"Other,",Yes,13,NULL,NULL,3,1,NULL,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"835 ft ,2 in",NULL,"Ground Source Heat, Heat Pump",NULL,1,Yes,River view,Bungalow,Yes
"$3,599,999",1065251,ACTIVE,Single Family Residential,Single Family,5,8,"72,309",Rideau Forest,Freehold,"Natural gas,",Yes,9,NULL,NULL,3,2,NULL,Central air conditioning,Canada,"Tile, Other",Septic System,179 ft,Family Oriented,"Forced air, Radiant heat",Landscaped,2,Yes,NULL,NULL,NULL
"$3,499,900",1140513,ACTIVE,Single Family Residential,Single Family,5,6,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,6,NULL,NULL,1,2,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,100 ft,Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$3,499,000",1160675,ACTIVE,Single Family Residential,Single Family,5,8,"125,888",Rideau Forest,Freehold,Natural gas,Yes,10,Poured concrete,NULL,3,2,Yes,Central air conditioning,Canada,"Hardwood, Marble, Tile",Septic System,"160 ft ,4 in",NULL,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$3,288,000",1105252,ACTIVE,Single Family Residential,Single Family,6,6,NULL,Winding Way,Freehold,Natural gas,Yes,10,NULL,NULL,4,2,Yes,Central air conditioning,Canada,"Hardwood, Marble, Tile",Municipal sewage system,"129 ft ,11 in",NULL,Forced air,Land / Yard lined with hedges,2,Yes,River view,NULL,Yes
"$3,100,000",1163266,ACTIVE,Single Family Residential,Single Family,6,8,"43,560",Cedarhill Estates,Freehold,Natural gas,Yes,10,NULL,NULL,4,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Hardwood, Marble",Septic System,"132 ft ,2 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,NULL
"$2,999,997",1159918,ACTIVE,Single Family Residential,Single Family,5,6,NULL,Rothwell Heights,Freehold,Natural gas,Yes,15,NULL,Fenced yard,2,NULL,Yes,Central air conditioning,Canada,"Hardwood, Tile",Septic System,"166 ft ,10 in",NULL,Forced air,Landscaped,NULL,Yes,NULL,NULL,NULL
"$2,999,000",1127826,ACTIVE,Single Family Residential,Single Family,5,5,NULL,Crystal Bay,Freehold,Natural gas,Yes,10,NULL,NULL,2,2,Yes,Central air conditioning,Canada,"Wall-to-wall carpet, Mixed Flooring, Hardwood, Tile",Septic System,"320 ft ,9 in",NULL,Forced air,Landscaped,2,Yes,NULL,NULL,Yes
"$2,999,000",1126117,ACTIVE,Single Family Residential,Single Family,5,7,NULL,Manotick,Freehold,Natural gas,Yes,10,NULL,NULL,2,2,NULL,Central air conditioning,Canada,Hardwood,Septic System,"120 ft ,6 in",Family Oriented,Forced air,Landscaped,2,Yes,NULL,NULL,Yes
"$2,998,000",1149830,ACTIVE,Single Family Residential,Single Family,4,4,NULL,Rockcliffe Park,Freehold,Natural gas,Yes,6,NULL,NULL,1,3,NULL,Central air conditioning,Canada,"Hardwood, Tile",Municipal sewage system,113 ft,Family Oriented,Forced air,Landscaped,3,Yes,NULL,NULL,NULL
